Timestamp,Mobile,Message,Status,Response
2026-05-23 13:05:46,8801517136029,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 93 BDT
Receipt: FRD-2026-0001
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801639933823,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 64 BDT
Receipt: FRD-2026-0002
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801781275364,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 82 BDT
Receipt: FRD-2026-0003
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801552801198,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 66 BDT
Receipt: FRD-2026-0004
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801713741196,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 85 BDT
Receipt: FRD-2026-0005
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801985524262,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 67 BDT
Receipt: FRD-2026-0006
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801840773482,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 60 BDT
Receipt: FRD-2026-0007
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801330812709,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 97 BDT
Receipt: FRD-2026-0008
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801995218477,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 64 BDT
Receipt: FRD-2026-0009
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801359907857,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 61 BDT
Receipt: FRD-2026-0010
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801321720477,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 76 BDT
Receipt: FRD-2026-0011
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801861152700,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 54 BDT
Receipt: FRD-2026-0012
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801653109628,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 72 BDT
Receipt: FRD-2026-0013
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801643978002,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 98 BDT
Receipt: FRD-2026-0014
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801765478034,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 73 BDT
Receipt: FRD-2026-0015
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801393692386,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 56 BDT
Receipt: FRD-2026-0016
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801988507230,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 58 BDT
Receipt: FRD-2026-0017
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801779426200,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 69 BDT
Receipt: FRD-2026-0018
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801949521538,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 104 BDT
Receipt: FRD-2026-0019
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801787031056,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 64 BDT
Receipt: FRD-2026-0020
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801756977874,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 94 BDT
Receipt: FRD-2026-0021
তারিখ: 2026-05-23",SIMULATED,
2026-05-23 13:05:46,8801824573458,"Block-Relief
প্রিয় সুবিধাভোগী,
আপনার ত্রাণ তহবিল নিশ্চিত হয়েছে।
পরিমাণ: 99 BDT
Receipt: FRD-2026-0022
তারিখ: 2026-05-23",SIMULATED,
